體育/sports,#genre#
NFL?Network,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/f38c6064/index.m3u8
WWE,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/7f4159f7/index.m3u8
Disney,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/8e05df32/index.m3u8
TreeHouse,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/230bd122/index.m3u8
TLC Canada,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/444dcd9c/index.m3u8
ESPN 2,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/7a8bfcc3/index.m3u8
Discovery Canada,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/7b4173c4/index.m3u8
Discovery?Velocity,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/05f3570c/index.m3u8
Disney XD,http://e9a9b37defe7d888c.alivec.com/live/t6u5b1q4/c18722e6/index.m3u8
CNBC,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/16863fa2a6/index.m3u8
CNN,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/bcb2156a0c/index.m3u8
ABC NEWS,http://e9a9b37defe7d888c.alivec.com/live/cjz1uzv2/25b05bc679/index.m3u8
